
Dynamically growing vector

	growth rate	sd
pop1	0.0346574	0.1
pop2	0.0346574	0.1

420 time steps

Running 10 iterations.

time	pop1	pop2	seed
0	1	1	0
1	1	1	0
2	1	1	0
3	1	1	0
4	1	1	0
5	1	1	0
6	1	1	0
7	1	1	0
8	1	1	0
9	1	1	0
10	1	1	0
11	1	1	0
12	1	1	0
13	1	1	0
14	1	1	0
15	1	1	0
16	1	1	0
17	1	1	0
18	1	1	0
19	2	2	0
20	2	2	0
21	2	2	0
22	2	2	0
23	2	2	0
24	2	2	0
25	2	2	0
26	2	2	0
27	2	2	0
28	2	2	0
29	2	2	0
30	2	2	0
31	2	2	0
32	2	2	0
33	2	2	0
34	2	2	0
35	2	2	0
36	2	2	0
37	3	2	0
38	3	2	0
39	4	3	0
40	4	4	0
41	4	4	0
42	4	4	0
43	4	4	0
44	4	4	0
45	4	4	0
46	4	4	0
47	4	4	0
48	4	4	0
49	4	4	0
50	4	4	0
51	4	4	0
52	4	4	0
53	4	4	0
54	5	4	0
55	5	4	0
56	5	4	0
57	5	4	0
58	6	5	0
59	8	6	0
60	8	7	0
61	8	8	0
62	8	8	0
63	8	8	0
64	8	8	0
65	8	8	0
66	8	8	0
67	8	8	0
68	8	8	0
69	8	8	0
70	8	8	0
71	9	8	0
72	9	8	0
73	9	8	0
74	10	8	0
75	10	8	0
76	11	10	0
77	11	10	0
78	13	10	0
79	15	12	0
80	15	12	0
81	16	13	0
82	16	14	0
83	16	16	0
84	16	16	0
85	16	16	0
86	16	16	0
87	16	16	0
88	16	16	0
89	17	16	0
90	17	16	0
91	17	16	0
92	17	16	0
93	17	17	0
94	22	19	0
95	22	19	0
96	22	20	0
97	24	21	0
98	25	21	0
99	26	24	0
100	28	24	0
101	29	25	0
102	29	26	0
103	30	28	0
104	30	29	0
105	31	31	0
106	32	31	0
107	32	31	0
108	32	31	0
109	33	32	0
110	34	33	0
111	35	35	0
112	35	36	0
113	39	36	0
114	40	37	0
115	42	40	0
116	43	42	0
117	46	42	0
118	47	43	0
119	50	50	0
120	54	50	0
121	56	51	0
122	58	53	0
123	59	54	0
124	61	57	0
125	62	59	0
126	64	61	0
127	64	62	0
128	64	64	0
129	66	66	0
130	68	66	0
131	69	67	0
132	72	69	0
133	77	75	0
134	77	75	0
135	81	79	0
136	86	81	0
137	88	86	0
138	89	90	0
139	99	96	0
140	103	98	0
141	112	103	0
142	117	104	0
143	121	110	0
144	122	116	0
145	122	119	0
146	126	124	0
147	129	126	0
148	132	126	0
149	134	132	0
150	138	136	0
151	142	139	0
152	148	140	0
153	150	145	0
154	157	152	0
155	164	156	0
156	172	160	0
157	175	169	0
158	185	174	0
159	196	186	0
160	205	198	0
161	219	205	0
162	226	210	0
163	232	221	0
164	242	229	0
165	245	239	0
166	252	244	0
167	256	249	0
168	262	258	0
169	268	265	0
170	276	268	0
171	284	275	0
172	291	281	0
173	302	289	0
174	311	296	0
175	329	310	0
176	335	322	0
177	356	336	0
178	376	350	0
179	389	372	0
180	406	390	0
181	418	403	0
182	429	421	0
183	448	436	0
184	470	451	0
185	485	467	0
186	493	482	0
187	506	498	0
188	519	515	0
189	536	526	0
190	558	534	0
191	569	545	0
192	590	561	0
193	610	576	0
194	627	592	0
195	649	617	0
196	678	647	0
197	708	676	0
198	737	699	0
199	770	737	0
200	798	770	0
201	829	793	0
202	858	830	0
203	879	863	0
204	904	888	0
205	935	918	0
206	963	957	0
207	998	983	0
208	1030	1006	0
209	1067	1034	0
210	1106	1065	0
211	1150	1097	0
212	1175	1121	0
213	1208	1154	0
214	1256	1191	0
215	1305	1229	0
216	1349	1282	0
217	1398	1342	0
218	1454	1392	0
219	1513	1459	0
220	1583	1518	0
221	1630	1566	0
222	1674	1615	0
223	1728	1694	0
224	1795	1765	0
225	1848	1822	0
226	1901	1881	0
227	1977	1937	0
228	2042	1997	0
229	2113	2055	0
230	2184	2121	0
