#name	storage location	storage temp	company	cat. number	price	unit	notes
Acrylamide	Chemical Room A	25	Bio-Rad				99.9%, 500g, 71.08g/mol, acrylamide gels
Adenine hemisulfate salt	Chemical Room A	25	Sigma				99%, 25g, 184.2g/mol, plant growth regulator
Ammonium chloride	Chemical Room A	25	Sigma				1kg, 53.49g/mol
Ammonium chloride	Chemical Room A	25	Fisher				1kg, 53.49g/mol
Ammonium persulfate	Chemical Room A	25	Sigma				98%, 10g, 228.2g/mol, for polymerization of acrylamide
Ammonium sulfate	Chemical Room A	25	Sigma				1kg, 132.13g/mol, protein purification
Aniline Blue	Chemical Room stains box	25	Sigma				25g, 789.91g/mol, dye
Avicel PH-101 ~50 ﾵm particle size	Chemical Room A	25	Fluka				1kg, microcrystaline cellulose
?-amino-adipate	Chemical Room A	25	Bachem				25g, 161.16g/mol, lysine counterselection
Boric acid	Chemical Room B	25	J.T. Baker				500g, 61.83g/mol
Brilliant Blue G (Coomassie)	Chemical Room stains box	25	Sigma				5g, 854g/mol, protein dye, pH indicator
Brilliant Blue R (Coomassie)	Chemical Room stains box	25	Sigma				25g, protein dye, pH indicator
Bromocresol green, sodium salt	Chemical Room stains box	25	Bio-Rad				5g, dye, pH indicator, electrophoresis, prostaglandin E2 transport protein inhibitor
Bromophenol Blue	Chemical Room stains box	25	Mallinckrodt				5g, dye, pH indicator
N,N'-Methylene-bis-acrylamide (BIS)	Chemical Room B	25	Bio-Rad				50g, 154.17g/mol, acrylamide gels
Caffeine	Chemical Room C	25	?				~5g
Calcium chloride dihydrate	Chemical Room C	25	Sigma				99%, 1kg, 147g/mol
Calcium chloride dihydrate	Chemical Room C	25	Mallinckrodt				75%, 500g, 147.02g/mol
Casein	Chemical Room C	25	Sigma				500g, after dephos., suitable substrate for protein kinase
Cesium chloride	Chemical Room C	25	Cabot				5.5lbs
Cesium sulfate	Chemical Room C	25	Kawecki Berylco Industries, Inc				453.6g
Chelating resin, sodium form, dry mesh 50-100	Chemical Room C	25	Sigma				79%, 50g, ion exchange resin
Citric acid monohydrate	Chemical Room C	25	Fisher				99%, 453.6g, 210.14g/mol
Cobalt chloride hexahydrate	Chemical Room C	25	Sigma				100g, 237.9g/mol, dessication indicator
Copper(II) sulfate pentahydrate	Chemical Room C	25	Sigma				99%, 100g, 249.69g/mol, analytical reagent
Crystal violet solution	Chemical Room stains box	25	Sigma				2.3%, 250ml, dye
D-calcium pantothenate (vitamin B5)	Chemical Room C	25	Acros				100g, 476.52g/mol, vitamin
2-deoxy-D-galactose	Chemical Room D	25	Sigma				98%, 5g, 164.2g/mol, hexose analog, inhibits 1,2-fucosylation
Decyl Sodium Sulfate, HPLC grade	Chemical Room D	25	Kodak				5g, 260.32g/mol, surfactant, lysis agent
Decyl Sodium Sulfate, HPLC grade (x3)	Chemical Room D	25	Acros				5g, 260.32g/mol, surfactant, lysis agent
Deoxycholic acid, sodium salt	Chemical Room D	25	Sigma				100g, 414.5g/mol, membrane protein isolation
Deoxycholic acid, sodium salt	Chemical Room D	25	Sigma				25g, 414.5g/mol, membrane protein isolation
Dextran sulfate sodium salt	Chemical Room D	25	Sigma				100g, ~500000g/mol, Nucleic acid hybridization STORAGE TEMP 2 to 8 C
Dextrose, Anhydrous	Chemical Room D	25	Fisher				99.8%, 1kg, 180.16g/mol
Dimethyl sulfoxide (DMSO)	Chemical Room D	25	Sigma				99.9%, 500ml, 78.13g/mol, polar aprotic solvent
Eosin Y	Chemical Room stains box	25	Fisher				88%, 25g, fluorescent red dye, stains cytoplasm, collagen, muscle fibres, other eosinophilic structures
EPPS (HEPPS)	Chemical Room E	25	Sigma				99.5%, 25g, 252.33g/mol, buffering agent, pKa 8.00
Ethanolamine hydrochloride (ETA)	Chemical Room E	25	Aldrich				98%, 250g, 97.55g/mol, Precursor to EDTA
Ethylene glycol-bis(?-aminoethlether)-N,N,N',N'-tetraacetic acid (EGTA)	Chemical Room E	25	Sigma				97%, 100g, 380.4g/mol, Chelating agent (extra calcium affinity)
